Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0x1b2f5c46bc874b21292f9526ffba1e429bb7fab1557e735bea1dd5a11ed05df8","Success","0x25356bc7","47593258","2025-03-19 05:17:28","0xb300000b72deaeb607a12d5f54773d1c19c7028d","","0xde9e4fe32b049f821c7f3e9802381aa470ffca73","","499.66458081","$499.59","Binance-Peg BSC-USD(BSC-USD)"
"0x1b2f5c46bc874b21292f9526ffba1e429bb7fab1557e735bea1dd5a11ed05df8","Success","0x25356bc7","47593258","2025-03-19 05:17:28","0x6aba0315493b7e6989041c91181337b662fb1b90","","0xb300000b72deaeb607a12d5f54773d1c19c7028d","","499.66458081","$499.59","Binance-Peg BSC-USD(BSC-USD)"
"0x15a24f1700dcd45bca94713e122b3762908e139e7926d5742243faabb083bace","Success","Mint","47593258","2025-03-19 05:17:28","0x0000000000000000000000000000000000000000","Null: 0x000...000","0xed3757063b0f210b1e00c045ddfbb28a5fe213e7","","100,000","$0.00","BEP-20: FairMint Fairmoon(Fairmoon)"
"0xad2419af2c5501ca2f3e92c8b72041ff31ba13d34777b4054c04145177428667","Success","Mint","47593258","2025-03-19 05:17:28","0x0000000000000000000000000000000000000000","Null: 0x000...000","0x264a1a5efbab09138ae02b1f8b89fff9b8236df2","","100,000","$0.00","BEP-20: FairMint Fairmoon(Fairmoon)"
"0xc14a0c5fa130d71049e1b4266c36b957883608c9f1b739a19b86421146199f63","Success","Mint","47593258","2025-03-19 05:17:28","0x0000000000000000000000000000000000000000","Null: 0x000...000","0xf65b942bb344ad509e737c2db55bb6db324b246a","","100,000","$0.00","BEP-20: FairMint Fairmoon(Fairmoon)"
"0x773048b0df9159863f61c464520a209fd41cfbb9545280befa57b0d5e9aa0c16","Success","Mint","47593258","2025-03-19 05:17:28","0x0000000000000000000000000000000000000000","Null: 0x000...000","0x50fec59804d854e5a9cabc3dee29d14ebd7a1569","","100,000","$0.00","BEP-20: FairMint Fairmoon(Fairmoon)"
"0x81d217f3c99fffff94bb049a137fac90f5d8265de574c7214a52653a0c384daf","Success","Stake By Burn","47593258","2025-03-19 05:17:28","0x3ce14ba5a341fb28de34228fc282e21e79ec2f8c","","0x0000000000000000000000000000000000000000","Null: 0x000...000","20.57142857","$3.34","Apex Token(APX)"
"0x81d217f3c99fffff94bb049a137fac90f5d8265de574c7214a52653a0c384daf","Success","Stake By Burn","47593258","2025-03-19 05:17:28","0x7a7de0ae5713178c1332737ecac80cfeb0d09798","","0x3ce14ba5a341fb28de34228fc282e21e79ec2f8c","","20.57142857","$3.34","Apex Token(APX)"
"0xd1dc55f23da0abb88db1dc0f7af745a61c48041128e1454d6a89a172eadcb3fc","Success","Multicall","47593258","2025-03-19 05:17:28","0x4d1e50f89b3210c8159d7ea21caec4b8ac6d4d2c","","0x6fa270401476d43ba2193ed403de1444df38e633","","673,507.70222254","$0.00","BEP-20: Burj(Burj)"
"0xc537447463597cf5621d79cffa77b5439cd6ee3744984673735035f902068d8f","Success","Swap Exact ETH For Tokens","47593258","2025-03-19 05:17:28","0xf671e7e17776124984595d0f6e6f7bd8c3c5a081","PancakeSwap V2: Mansa 31","0x155384f5c0c2dc50f064d8f0ce5c4e44a0d9c3a8","","216,065,268.55249626","$0.00","BEP-20: OG Mubarak(Mansa)"
"0x53feb4f04a35cd9c5b88f789d49fdd11f77c2bcbb18cd9e6588aeb1c8b2e2252","Success","Transfer","47593258","2025-03-19 05:17:28","0x6afccc153b82d8409654525cccebea230cd051fb","","0x8c793a81fbfa83bf03c5a405281f120a25a4d1a2","","30,000","$29,995.71","Binance-Peg BSC-USD(BSC-USD)"
"0xabf4a0bd3533ac427f2463d0cf1a546263fb68cdd23b5996be62884d347d65bb","Success","Transfer","47593258","2025-03-19 05:17:28","0x005c52196f7b2bfd6af2d9bee2b9e0074bf21c17","","0xb0b2fa35feef1f640c0e8c322aaf3e8854b02ea9","","11,090","$0.00","BEP-20: BSG(BSG)"
"0xd9d49feaee2980a1d8a1b024d00ee49f17a6d008d8f51a19058add72ba8e5a68","Success","0xd623adad","47593258","2025-03-19 05:17:28","0x1dcc3e0420b29b3beb26867b31d7129a0938011a","","0xf242b2ae943d2d7201081aa1963a3fa197596b00","","0.25327584","$0.25","Binance-Peg BSC-USD(BSC-USD)"
