Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x8de9b545e9d1eb2e74473ddde3bc63754ea6b1a768edc690473eede8484d735c","Success","0xedf9e251","47657476","2025-03-21 10:48:33","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0x5c952063c7fc8610FFDB798152D69F0B9550762b","","0.1 BNB","$63.39","0.00018061"
"0xf9b14f4692c44a9d4a2815bb814d9500cb71c6dd6352aee8f2aaad7a0069c51b","Success","Execute","47657397","2025-03-21 10:44:36","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0x013bb8a204499523ddF717e0aBAA14E6dC849060","","0 BNB","$0.00","0.00020287"
"0x4e823376ad2162c483fc4c3b375371db60fa3147859cc88db13e12eb0c1bb65f","Success","Execute","47657387","2025-03-21 10:44:06","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0x013bb8a204499523ddF717e0aBAA14E6dC849060","","0 BNB","$0.00","0.00018656"
"0x4edd9c73f04a56b4129d9c5e005e1d41e014cbdc54cc261220d821c1fd8fb9d6","Success","Transfer","47657334","2025-03-21 10:41:27","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0xB0999731f7c2581844658A9d2ced1be0077b7397","","0.01 BNB","$6.34","0.000021"
"0x161e1232e55acc4d5f7da968d939354998b42619783854d664a88e2e834823aa","Success","Approve","47657333","2025-03-21 10:41:24","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0xf2da8B94FEdDea29b3CAcCd8e45d766a4157F8bB","","0 BNB","$0.00","0.00004653"
"0x0bf5a8806e7aed318e18953ba12448629481851f2febc88f8b3549dea46200ff","Success","Execute","47657332","2025-03-21 10:41:21","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0x013bb8a204499523ddF717e0aBAA14E6dC849060","","0.1 BNB","$63.39","0.00016738"
"0xa356b0b56b51dcb81789727d6692b75020104575a37712018b6e4eb63255ce68","Success","0x0da74935","47656938","2025-03-21 10:21:39","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0x5c952063c7fc8610FFDB798152D69F0B9550762b","","0 BNB","$0.00","0.0001494"
"0x5c31202bc6d46a6f2c8b567f515e1f8160fde9c8497a2e400b8fea3cb7e9079a","Success","Approve","47656883","2025-03-21 10:18:54","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0x4AECf5414E88441EC53d1d8C31E40A412a6AC558","","0 BNB","$0.00","0.00004659"
"0x1717ff4e4ee4dd4575c281f01c1c0666a50eb227dc6dde178afe0e09b384b8ca","Success","0xedf9e251","47656882","2025-03-21 10:18:51","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0x5c952063c7fc8610FFDB798152D69F0B9550762b","","0.1 BNB","$63.39","0.0001806"
"0xe97a1f7c51ced4c5c453e1f869ab33661cb406ceca893683ba2f52a283f04158","Success","Execute","47656851","2025-03-21 10:17:18","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0x013bb8a204499523ddF717e0aBAA14E6dC849060","","0 BNB","$0.00","0.00020307"
"0xabb162c4665591990cdd3a3efe73d45c9a25ccbffcebb34eed08b5ec44b35d65","Success","Execute","47656810","2025-03-21 10:15:15","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0x013bb8a204499523ddF717e0aBAA14E6dC849060","","0 BNB","$0.00","0.00020307"
"0xc11cdb20d020bdaefde7547f8d132406ea0d26c10b5ebe4386cbd2e9a91a6458","Success","Execute","47656699","2025-03-21 10:09:42","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0x013bb8a204499523ddF717e0aBAA14E6dC849060","","0 BNB","$0.00","0.00018016"
"0xbf3017e6a1b54884a8fbebe16ab474a00f702fb54c36e98dea7cc5923667385d","Success","Approve","47656680","2025-03-21 10:08:45","0x0d33cf20b0720FC92C74ec06647DbdFbf72EBE07","","0xf62E934EE0a82024a5d432cC03E9275357a16150","","0 BNB","$0.00","0.00004659"
